City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['1675195'],['160299601002'],[6.666666666666667],[32.2960052919574],[16.717227229046593],[12.463022450328642],[11.204736529862771],[0.6941383087088278],[0.713792173000674],[2.396051035175996],[-99999.0],[17.0],[15.0],[3.0],[1.0]
['1675195'],['160299601001'],[4.833333333333333],[14.79305388019275],[5.0648917508352245],[6.492878852392293],[5.109516347758883],[0.45356735916128854],[0.6127182983467107],[2.494706476473297],[-99999.0],[14.0],[7.0],[3.0],[1.0]
['1616750'],['160550017003'],[5.833333333333332],[33.91636110707448],[13.475985818131944],[16.365237177539434],[12.2254143342093],[0.7071589499604237],[0.45346165631360563],[3.886448748189444],[-99999.0],[9.0],[16.0],[4.0],[1.0]
['1627550'],['160550017003'],[5.833333333333332],[0.004251663670181411],[0.0016893132828120674],[0.0020515020506469746],[0.0015325450101671076],[0.7071589499604237],[0.45346165631360563],[3.886448748189444],[-99999.0],[9.0],[16.0],[4.0],[1.0]
['1635200'],['160550019002'],[6.166666666666666],[57.14253578959756],[15.625986130114487],[65.20756088901149],[26.11968356060193],[0.7991706877165293],[0.5110555201754051],[3.1973229489816197],[-99999.0],[10.0],[19.0],[3.0],[1.0]
['1664810'],['160550003011'],[6.333333333333333],[154.30924648585577],[72.17457740217762],[67.7478699881774],[63.80232642352502],[0.7792324860656694],[0.4435309792632261],[8.023409170319649],[-99999.0],[8.0],[18.0],[5.0],[1.0]
['1635830'],['160550003011'],[6.333333333333333],[2.438726016645697e-06],[1.140657631733254e-06],[1.0706972969869477e-06],[1.0083413464521966e-06],[0.7792324860656694],[0.4435309792632261],[8.023409170319649],[-99999.0],[8.0],[18.0],[5.0],[1.0]
['1666340'],['160550003011'],[6.333333333333333],[462.65766193561933],[216.39740969860586],[203.12503523709137],[191.29531017356757],[0.7792324860656694],[0.4435309792632261],[8.023409170319649],[-99999.0],[8.0],[18.0],[5.0],[1.0]
['1664810'],['160550004012'],[4.5],[8.090716776942484],[3.816534276201722],[3.1111682053525587],[2.947422510334003],[0.5554866996397569],[0.400222983912093],[4.147963648375703],[-99999.0],[7.0],[10.0],[4.0],[1.0]
['1664090'],['160050007003'],[12.000000000000002],[1375.0000000000002],[442.0000000000001],[387.0000000000001],[364.00000000000006],[0.668114998932822],[0.7652986525931512],[180.43274567923606],[-99999.0],[18.0],[14.0],[19.0],[1.0]
['1656260'],['160270211003'],[11.833333333333332],[3533.213465958376],[1619.727935639539],[1240.685877988832],[1240.685877988832],[0.3222983061821549],[0.578861709528628],[36.339379478573996],[229.33],[13.0],[4.0],[8.0],[19.0]
['1656260'],['160270206025'],[7.833333333333333],[1040.0000000000002],[430.0000000000001],[357.00000000000006],[357.00000000000006],[0.33930328452854264],[0.5388459398881716],[109.09146161785371],[-99999.0],[11.0],[4.0],[15.0],[1.0]
['1656260'],['160270204013'],[7.0],[962.650039769047],[542.7613631021073],[457.0156754459112],[434.032295249405],[0.4096296001242495],[0.6324276920202129],[52.73071694772022],[-99999.0],[14.0],[6.0],[10.0],[1.0]
['1656260'],['160270205043'],[11.0],[770.7858106350677],[470.9545180730395],[393.4371595082224],[393.4371595082224],[0.391800704965512],[0.37152994946356205],[75.24871667211563],[602.16],[7.0],[5.0],[12.0],[15.0]
['1656260'],['160270201001'],[18.666666666666668],[900.9999999999995],[672.9999999999997],[579.9999999999997],[498.9999999999997],[0.8973610297352417],[0.9270699125898201],[125.39594474214327],[135.45],[20.0],[20.0],[16.0],[20.0]
['1656260'],['160270205041'],[13.333333333333336],[1436.1442213055705],[638.0708289122656],[452.85574027663836],[422.7946525923219],[0.5542241290801889],[0.35194106012170484],[151.58186753047102],[638.37],[6.0],[10.0],[18.0],[14.0]
['1656260'],['160270207002'],[7.666666666666667],[631.6912337419615],[316.20277361829056],[243.5809016652946],[234.05672173703283],[0.6049723358398641],[0.7582225730481613],[22.115160318838903],[-99999.0],[18.0],[12.0],[7.0],[1.0]
['1656260'],['160270205011'],[9.333333333333334],[1045.1575818716317],[570.5847166123343],[389.53379691803593],[373.07462240037245],[0.7474468555707807],[0.4701731788843423],[93.13677440240609],[-99999.0],[9.0],[17.0],[14.0],[1.0]
['1614680'],['160050003003'],[9.833333333333334],[2436.485735292703],[911.8496554464868],[1181.5929618808175],[1101.4518346068496],[0.6915726346027092],[0.8746954747169313],[64.9516163693198],[-99999.0],[20.0],[15.0],[11.0],[1.0]
['1664090'],['160050003003'],[9.833333333333334],[19.940282390715],[7.462608692553989],[9.670197116074783],[9.014319396043243],[0.6915726346027092],[0.8746954747169313],[64.9516163693198],[-99999.0],[20.0],[15.0],[11.0],[1.0]
['1614680'],['160050003004'],[8.500000000000002],[2503.9999891695825],[1088.9999952898065],[957.9999958564138],[911.999996055375],[0.5266459841604343],[0.5720120771514028],[92.66173456716363],[-99999.0],[12.0],[9.0],[14.0],[1.0]
['1656260'],['160270204022'],[12.333333333333334],[752.0000000000001],[437.0000000000001],[464.0000000000001],[373.00000000000006],[0.5236501981515562],[0.1041570384015202],[145.80810347373694],[560.59],[1.0],[9.0],[17.0],[15.0]
['1687670'],['160270222001'],[4.333333333333333],[1.0024932248436363e-07],[3.9446816174308624e-08],[3.638628733319847e-08],[3.5774181564976437e-08],[0.2325808104580198],[0.5775715995186131],[5.643830653919388],[-99999.0],[13.0],[3.0],[4.0],[1.0]
['1614680'],['160050004001'],[4.999999999999999],[976.6531609824889],[385.3296590476817],[289.4684720309279],[289.4684720309279],[0.49345031574596077],[0.3367270555791553],[22.06218079094099],[-99999.0],[6.0],[8.0],[7.0],[1.0]
['1614680'],['160050004002'],[6.833333333333333],[2186.185729570974],[1034.5664758142707],[711.3207274963219],[697.8146377337335],[0.45446326835843953],[0.23918410286568395],[96.33473774839595],[-99999.0],[4.0],[7.0],[14.0],[1.0]
['1652660'],['160270219032'],[4.5],[165.49771226229183],[65.48884921726491],[52.435869011771956],[50.100409318142084],[0.5492235862569362],[0.4029073132446964],[3.9147075548777743],[-99999.0],[7.0],[10.0],[4.0],[1.0]
['1676870'],['160270219032'],[4.5],[137.42702674716986],[54.38104074066436],[43.54202529259838],[41.60269164625324],[0.5492235862569362],[0.4029073132446964],[3.9147075548777743],[-99999.0],[7.0],[10.0],[4.0],[1.0]
['1664090'],['160050007001'],[6.166666666666666],[1636.0000000000005],[700.0000000000001],[626.0000000000001],[588.0000000000001],[0.11172759680538882],[0.392344330681335],[89.62704816146879],[-99999.0],[7.0],[2.0],[13.0],[1.0]
