City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['2622000'],['261635018001'],[11.666666666666668],[1001.0000000000005],[371.00000000000017],[421.00000000000017],[378.00000000000017],[0.33803255185797204],[0.17541325270630517],[93.27388600498126],[315.16],[2.0],[4.0],[14.0],[18.0]
['2622000'],['261635225003'],[14.833333333333336],[498.0000000000002],[159.00000000000006],[273.0000000000001],[140.00000000000006],[0.4350996530158024],[0.6654087737332622],[101.8230197703788],[93.88],[15.0],[6.0],[14.0],[20.0]
['2622000'],['261635042003'],[12.166666666666668],[478.0],[121.0],[331.0],[122.0],[-0.0],[0.11911602665564837],[133.737526099159],[300.41],[2.0],[1.0],[17.0],[18.0]
['2635580'],['261635518001'],[6.833333333333333],[908.9999984639101],[533.9999990976105],[363.9999993848881],[331.99999943896387],[0.6293061675570443],[0.15205169263183793],[74.80272971523829],[-99999.0],[2.0],[13.0],[12.0],[1.0]
['2670760'],['261635518001'],[6.833333333333333],[1.5360440113406083e-06],[9.023624885103243e-07],[6.150935314939289e-07],[5.61019374879078e-07],[0.6293061675570443],[0.15205169263183793],[74.80272971523829],[-99999.0],[2.0],[13.0],[12.0],[1.0]
['2622000'],['261635012002'],[11.5],[718.0],[217.0],[394.0],[219.0],[0.3060986113514965],[0.10327508457163545],[118.65676315896864],[423.79],[1.0],[4.0],[16.0],[16.0]
['2669180'],['261635991004'],[6.333333333333333],[1.8954139913510267e-05],[8.71163057158214e-06],[6.8762676259187185e-06],[6.537951875566014e-06],[0.6950919512322866],[0.31857362270821016],[32.71695681909105],[-99999.0],[5.0],[15.0],[8.0],[1.0]
['2628360'],['261635991004'],[6.333333333333333],[2240.9999366571765],[1029.9999708866096],[812.9999770202073],[772.9999781508244],[0.6950919512322866],[0.31857362270821016],[32.71695681909105],[-99999.0],[5.0],[15.0],[8.0],[1.0]
['2675280'],['261635991004'],[6.333333333333333],[1.0311841421880664e-05],[4.739489810145955e-06],[3.7409759375229722e-06],[3.5569180808182746e-06],[0.6950919512322866],[0.31857362270821016],[32.71695681909105],[-99999.0],[5.0],[15.0],[8.0],[1.0]
['2621020'],['261635722002'],[9.166666666666666],[988.0000000000002],[280.00000000000006],[298.00000000000006],[298.00000000000006],[0.6289095557172475],[0.4316557533075549],[126.02836698592],[-99999.0],[8.0],[13.0],[16.0],[1.0]
['2603000'],['261614042001'],[15.333333333333334],[899.9999990645176],[366.9999996185311],[488.9999994917212],[488.9999994917212],[0.7852334328270204],[0.772401510023297],[59.303459674221685],[284.32],[18.0],[18.0],[10.0],[18.0]
['2631420'],['261635696004'],[6.499999999999999],[1055.999982009738],[400.9999931684706],[392.9999933047605],[364.999993781775],[0.12950294138110618],[0.5246210130869129],[78.8250094823351],[-99999.0],[11.0],[2.0],[12.0],[1.0]
['2686000'],['261635696004'],[6.499999999999999],[1.7990067014901277e-05],[6.831455372135807e-06],[6.695166985659283e-06],[6.218157632991446e-06],[0.12950294138110618],[0.5246210130869129],[78.8250094823351],[-99999.0],[11.0],[2.0],[12.0],[1.0]
['2652940'],['261635786001'],[6.833333333333333],[1220.99994734736],[666.9999712372556],[547.9999763688397],[547.9999763688397],[0.5479191492832073],[0.39880202397072584],[66.50668526441333],[-99999.0],[7.0],[10.0],[11.0],[1.0]
['2601380'],['261635786001'],[6.833333333333333],[5.2652659808836416e-05],[2.8762755194507688e-05],[2.3631169185292676e-05],[2.3631169185292676e-05],[0.5479191492832073],[0.39880202397072584],[66.50668526441333],[-99999.0],[7.0],[10.0],[11.0],[1.0]
['2601380'],['261635766002'],[7.499999999999999],[1215.0],[617.0],[537.0],[474.0],[0.31135601845849703],[0.39445446403187556],[122.57887563623295],[-99999.0],[7.0],[4.0],[16.0],[1.0]
['2622000'],['261635366001'],[13.5],[377.99999999999994],[131.99999999999997],[245.99999999999994],[99.99999999999997],[0.09099528728255302],[0.516730964306761],[122.56327421519626],[295.05],[11.0],[2.0],[16.0],[18.0]
['2621000'],['261635457002'],[11.833333333333332],[5.0207390017242246e-05],[1.2249688520797555e-05],[2.1265459272104556e-05],[1.8652192387667744e-05],[0.09185927968567872],[0.5320481151910154],[88.29666078546],[492.19],[11.0],[2.0],[13.0],[16.0]
['2622000'],['261635457002'],[11.833333333333332],[1536.9999497927017],[374.9999877503339],[650.9999787345796],[570.9999813478418],[0.09185927968567872],[0.5320481151910154],[88.29666078546],[492.19],[11.0],[2.0],[13.0],[16.0]
['2621000'],['261635737022'],[14.333333333333332],[1654.0000000000005],[440.0000000000001],[376.00000000000006],[376.00000000000006],[0.6111775675302041],[0.36811366272838736],[173.77131284543083],[409.04],[6.0],[12.0],[18.0],[16.0]
['2622000'],['261635467004'],[13.5],[604.0000000000001],[205.00000000000006],[332.00000000000006],[277.00000000000006],[0.06853083606169436],[0.3102555206122725],[192.08627976871497],[262.86],[5.0],[2.0],[19.0],[18.0]
['2622000'],['261635332003'],[12.666666666666666],[341.9999999999999],[123.99999999999996],[259.9999999999999],[112.99999999999996],[0.32840937867808384],[0.23865843932842437],[112.86087825254636],[203.85],[4.0],[4.0],[15.0],[19.0]
['2679000'],['261635840003'],[7.166666666666667],[1109.0000000000005],[437.00000000000017],[456.0000000000002],[387.00000000000017],[0.46967765060597677],[0.5109036017561955],[76.12790586733078],[-99999.0],[10.0],[7.0],[12.0],[1.0]
['2649000'],['261635584002'],[6.166666666666667],[1131.999958193956],[537.9999801310497],[445.9999835287141],[426.9999842304057],[0.40889375956241647],[0.46236915959312],[55.71981973985777],[-99999.0],[9.0],[6.0],[10.0],[1.0]
['2686000'],['261635584002'],[6.166666666666667],[8.650399058589826e-06],[4.1112320614146e-06],[3.40819609552214e-06],[3.2630038851747843e-06],[0.40889375956241647],[0.46236915959312],[55.71981973985777],[-99999.0],[9.0],[6.0],[10.0],[1.0]
['2658945'],['260810109041'],[4.666666666666666],[5.657160194102671e-06],[2.402691742279694e-06],[1.8779972892010313e-06],[1.8779972892010313e-06],[0.5682702296475642],[0.4228037009489556],[4.969545409108621],[-99999.0],[8.0],[10.0],[4.0],[1.0]
['2629580'],['260810109041'],[4.666666666666666],[6.589882116359209e-06],[2.7988345389403242e-06],[2.1876313072375307e-06],[2.1876313072375307e-06],[0.5682702296475642],[0.4228037009489556],[4.969545409108621],[-99999.0],[8.0],[10.0],[4.0],[1.0]
['2669080'],['260810109041'],[4.666666666666666],[1.6066318568834858e-06],[6.823637590184498e-07],[5.333506862889529e-07],[5.333506862889529e-07],[0.5682702296475642],[0.4228037009489556],[4.969545409108621],[-99999.0],[8.0],[10.0],[4.0],[1.0]
['2629580'],['260810109042'],[5.166666666666666],[3.1439182984963573e-06],[1.609246569767174e-06],[1.1107726323027078e-06],[1.0656352285165555e-06],[0.6395371919114015],[0.4400960541693278],[5.8434056117093895],[-99999.0],[8.0],[13.0],[4.0],[1.0]
['2603000'],['261614044001'],[7.999999999999999],[831.9999999999993],[339.9999999999997],[293.9999999999998],[280.9999999999998],[0.36652745190674096],[0.5319943766234959],[103.7074164339455],[-99999.0],[11.0],[5.0],[15.0],[1.0]
['2603000'],['261614044002'],[4.833333333333333],[1272.5768105797542],[645.4401688784523],[616.5398628092678],[560.6659377421779],[0.386503851385482],[0.2557702491992846],[41.859988896793155],[-99999.0],[4.0],[5.0],[9.0],[1.0]
['2603000'],['261614045001'],[12.666666666666668],[2102.0123853317878],[628.6663769955439],[1142.061107053538],[1019.0401057000188],[0.7181356256215],[0.6179828301866407],[19.81078562144078],[323.21],[14.0],[16.0],[6.0],[17.0]
