City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['3663000'],['360550066002'],[11.5],[1208.9999999999998],[405.9999999999999],[538.9999999999999],[400.9999999999999],[0.4820218686650529],[0.30473749920583443],[44.936176683734196],[167.64],[5.0],[8.0],[9.0],[19.0]
['3663000'],['360550055003'],[15.5],[784.0000000000006],[285.00000000000017],[292.00000000000017],[247.00000000000017],[0.4192553448467487],[0.6435422138018946],[139.32862650208807],[179.71],[15.0],[6.0],[17.0],[19.0]
['3663000'],['360550065001'],[13.5],[629.0],[237.0],[264.0],[221.0],[-0.0],[0.25717870992523495],[215.5557324470434],[221.28],[4.0],[1.0],[19.0],[19.0]
['3663000'],['360550066001'],[13.0],[632.9999999999999],[293.99999999999994],[282.99999999999994],[218.99999999999997],[0.30850027436078503],[0.35510241872865494],[141.40862752937346],[350.03],[6.0],[4.0],[17.0],[17.0]
['3663000'],['360550067001'],[13.666666666666668],[1350.0000000000002],[543.0000000000001],[472.0000000000001],[417.0000000000001],[0.5340929456955174],[0.21479712081628766],[146.91142601460075],[295.05],[3.0],[9.0],[17.0],[18.0]
['3663000'],['360550067002'],[12.0],[1253.0],[476.0],[455.0],[416.0],[0.5820318050051468],[0.21591884383549242],[92.44970257056887],[582.05],[3.0],[11.0],[14.0],[15.0]
['3663000'],['360550067003'],[13.5],[713.0000000000003],[245.0000000000001],[300.0000000000001],[280.0000000000001],[0.5236501981515563],[0.13528382130243696],[149.42708161610514],[303.09],[2.0],[9.0],[17.0],[18.0]
['3663000'],['360550068002'],[14.0],[545.9999700269549],[376.99997930432596],[292.9999839155637],[197.99998913065394],[0.6173483647771715],[0.42973231484857377],[81.98099452019623],[193.12],[8.0],[12.0],[13.0],[19.0]
['3663000'],['360550068003'],[13.0],[937.9999648772315],[556.9999791435159],[423.99998412361],[406.99998476016333],[0.521461289235118],[0.47493450908884005],[54.341328938648104],[0.0],[9.0],[9.0],[10.0],[20.0]
['3663000'],['360550069001'],[13.833333333333336],[883.0000000000003],[253.0000000000001],[482.0000000000002],[413.00000000000017],[0.5660819450053437],[0.1882250233457645],[156.9411947860903],[386.24],[3.0],[10.0],[18.0],[17.0]
['3675484'],['360830523046'],[12.666666666666668],[1.0560038574947122e-06],[5.806736539995254e-07],[4.5648828551880096e-07],[4.402157199937405e-07],[0.6029304239081289],[0.41675610681735215],[40.08861854719893],[0.0],[8.0],[12.0],[8.0],[20.0]
['3653682'],['360290091074'],[12.833333333333332],[3.191503569469212e-06],[8.263714599518495e-07],[1.4603978387080099e-06],[1.335729730525619e-06],[0.7106411064242454],[0.8080478179896219],[28.71691256249777],[669.22],[19.0],[16.0],[7.0],[14.0]
['3611000'],['360290095011'],[9.833333333333332],[7.34572143178519e-06],[4.172084502518773e-06],[2.0444402690405387e-06],[2.0444402690405387e-06],[0.33035868661274076],[0.2110474919782018],[71.08950677729267],[732.25],[3.0],[4.0],[12.0],[14.0]
['3611000'],['360290095012'],[11.333333333333332],[3.423835237499486e-05],[1.4641301587547295e-05],[1.509319361185431e-05],[1.509319361185431e-05],[0.7607193326909969],[0.3658640905188512],[38.40851904540559],[793.94],[6.0],[18.0],[8.0],[14.0]
['3611000'],['360290099002'],[13.0],[1.770587371685398e-06],[1.1400097638746336e-06],[8.293804004210549e-07],[8.293804004210549e-07],[0.5498256788919326],[0.7550975715061258],[79.01178780984516],[915.98],[18.0],[10.0],[12.0],[13.0]
['3611000'],['360290099003'],[12.0],[2.533277714489005e-06],[1.163157911972469e-06],[1.1824101808602892e-06],[1.1824101808602892e-06],[0.5221727180315232],[0.39876231885350644],[89.73960468738787],[510.97],[7.0],[9.0],[13.0],[15.0]
['3447610'],['360870128005'],[8.333333333333334],[2.903469736018714e-07],[1.6206248155252974e-07],[1.1462956012252103e-07],[1.1462956012252103e-07],[0.7317611999739716],[0.8466057387665821],[19.36229335999749],[-99999.0],[19.0],[17.0],[6.0],[1.0]
['3454870'],['360870128005'],[8.333333333333334],[4.2148482763902275e-07],[2.3525947681336543e-07],[1.6640304457530725e-07],[1.6640304457530725e-07],[0.7317611999739716],[0.8466057387665821],[19.36229335999749],[-99999.0],[19.0],[17.0],[6.0],[1.0]
['3650034'],['360710006002'],[11.833333333333332],[1808.9999999999998],[576.9999999999999],[647.9999999999999],[573.9999999999999],[0.5058809977538689],[0.5399339501038474],[81.75804205991031],[1003.16],[11.0],[8.0],[13.0],[13.0]
['3611000'],['360290111001'],[15.166666666666668],[2.7411103435569516e-05],[1.3019416462826824e-05],[1.2075980487259663e-05],[1.072086335871774e-05],[0.885276295169525],[0.6669379370696417],[74.4889503468613],[445.25],[15.0],[20.0],[12.0],[16.0]
['3611000'],['360290114001'],[10.666666666666666],[2.143373102985799e-06],[9.566154211256154e-07],[1.0148441858897832e-06],[9.621610177698219e-07],[0.3304770161362259],[0.3313431663096577],[78.04469373988121],[622.28],[6.0],[4.0],[12.0],[15.0]
['3611000'],['360290117001'],[10.5],[2.0651173048483437e-05],[1.4151819094138396e-05],[1.2963765145494679e-05],[1.2299852644782012e-05],[0.4746709581926583],[0.4296915518828055],[50.570029776552715],[740.3],[8.0],[7.0],[10.0],[14.0]
['3656979'],['360870101014'],[4.833333333333333],[2.696756597680615e-07],[1.0014345895251296e-07],[6.862622821618908e-08],[6.862622821618908e-08],[0.4576739067347738],[0.6094521267807769],[3.6269197867112695],[-99999.0],[14.0],[7.0],[3.0],[1.0]
['3640189'],['360290120013'],[13.0],[8.051405500501182e-06],[4.5180548851733255e-06],[2.6355320163511063e-06],[2.6355320163511063e-06],[0.7672212972443835],[0.8524485637039994],[13.739115004470367],[726.89],[20.0],[18.0],[6.0],[14.0]
['3640189'],['360290174001'],[13.0],[1608.0000000000005],[607.0000000000001],[585.0000000000001],[494.0000000000001],[0.54600096321964],[0.6110237682527531],[75.45784096683579],[510.97],[14.0],[10.0],[12.0],[15.0]
['3640189'],['360290174002'],[11.666666666666666],[1079.9999863395806],[270.9999965722466],[378.99999520620463],[378.99999520620463],[0.3692367970124708],[0.4023034306283009],[68.72118871251],[309.8],[7.0],[5.0],[11.0],[18.0]
