City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['0619318'],['061070004011'],[3.3333333333333335],[217.02719689302523],[87.8270596122276],[58.24893829653938],[55.708486158995605],[0.16300198351611686],[0.4383966721682538],[5.520326042088612],[-99999.0],[8.0],[2.0],[4.0],[1.0]
['0619318'],['061070004021'],[10.500000000000002],[770.0000000000002],[445.0000000000001],[253.00000000000006],[241.00000000000006],[0.6080999239474462],[0.7129538147404757],[128.45350727665675],[-99999.0],[17.0],[12.0],[16.0],[1.0]
['0659587'],['060590320541'],[16.833333333333332],[1981.9999999999989],[1206.9999999999993],[1025.9999999999993],[1008.9999999999994],[0.71931226129167],[0.8178994896776496],[289.5867212886733],[1056.8],[19.0],[16.0],[20.0],[13.0]
['0659587'],['060590320542'],[11.333333333333332],[792.0000000000002],[330.00000000000006],[352.00000000000006],[352.00000000000006],[-0.0],[0.050317612906927774],[238.9284030122082],[1011.2],[1.0],[1.0],[20.0],[13.0]
['0659587'],['060590320543'],[10.166666666666666],[1144.0000000000005],[413.00000000000017],[430.00000000000017],[328.00000000000017],[0.6471732638271022],[0.43539171595690024],[213.22150927371717],[-99999.0],[8.0],[13.0],[19.0],[1.0]
['0659587'],['060590320544'],[10.166666666666666],[1525.9999999999993],[808.9999999999997],[570.9999999999998],[570.9999999999998],[0.7741299295880474],[0.6495725458270525],[82.11307927546919],[-99999.0],[15.0],[18.0],[13.0],[1.0]
['0659587'],['060590320551'],[17.0],[594.9999999999997],[372.9999999999998],[254.99999999999986],[254.99999999999986],[0.6334484414168723],[0.79360282897877],[499.553596447573],[501.58],[19.0],[13.0],[20.0],[15.0]
['0619318'],['061070004022'],[10.333333333333334],[4833.999966997552],[1806.9999876633383],[1380.9999905717045],[1369.999990646803],[0.7900265839365206],[0.4757587673149719],[129.78007368904744],[-99999.0],[9.0],[19.0],[16.0],[1.0]
['0619318'],['061070004023'],[11.833333333333334],[1733.0],[791.0],[453.0],[438.0],[0.6564444106172118],[0.8279177269023607],[172.6625605847973],[-99999.0],[19.0],[14.0],[18.0],[1.0]
['0619318'],['061070005011'],[11.000000000000002],[1844.0000000000005],[677.0000000000001],[463.0000000000001],[463.0000000000001],[0.47102719898457035],[0.7414561516600239],[233.7837375291724],[-99999.0],[17.0],[7.0],[20.0],[1.0]
