NAME,NAMELSAD,state_abbr,city_id,city_state_name,population,house_units,miles_driven_pC,agg_vehi_consum_pC,gasoline_consume_pC,diesel_consume_pC,agg_vehi_emitGHG_pC,agg_nonvehi_emitGHG_pC,agg_combined_emitGHG_pC,driveGasoline_emitGHG_pC,driveDiesel_emitGHG_pC,wlk_NatWalkInd_avg,wlk_PeopleCounted,wlk_Workers,wlk_CountHU,wlk_HH,wlk_D2A_EPHHM_avg,wlk_D2B_E8MIXA_avg,wlk_D3B_avg,wlk_D4A_avg,wlk_D2A_Ranked_avg,wlk_D2B_Ranked_avg,wlk_D3B_Ranked_avg,wlk_D4A_Ranked_avg
Medicine Lake,Medicine Lake town,MT,3048775,"Medicine Lake town, MT",0.4976432219157134,120.406754546,3939.3295454545455,205.0340909090909,179.08712121212122,25.94696969696969,2.261697681357576,3.976992392777392,6.238690074134968,1.933333154539394,0.3283645268181818,4.166666666666667,0.4976432219157134,0.1787992461042298,0.3223671136657541,0.2378118051632612,0.4759663862801098,0.5989067989259732,0.4857286459688406,,9.0,12.0,1.0,1.0
Shelby,Shelby city,MT,3067450,"Shelby city, MT",2337.1063701960784,1186.31823494799,3664.374367088608,199.87215189873416,167.21993670886076,32.65221518987342,2.218441949881266,4.817221622422552,7.035663572303817,1.8052210876531647,0.4132208622281012,6.679999245384932,2337.1063701960784,780.8379766030121,922.4708038774178,765.2344193978702,0.4718891811994473,0.4579317873984795,60.46898525486365,,9.917752586291732,9.02665844974767,9.567792218135097,1.0
Sidney,Sidney city,MT,3067900,"Sidney city, MT",2257.2687932504127,2596.065983092,2702.674886842516,144.7075074137662,124.35445606368036,20.35305135008584,1.6000395145259874,4.380785327648692,5.98082484217468,1.3424672371491184,0.257572277376869,9.291439203062618,2257.2687932504127,1413.0060972304325,1105.2824548153528,975.8507839246948,0.7605307040475807,0.6931357105145507,81.20316216782375,,17.19181165750184,13.561724134558084,11.497549713157888,1.0
Virginia City,Virginia City town,MT,3077125,"Virginia City town, MT",1.1785678659215912,107.763676127999,7933.540669856459,422.9760765550239,368.8181818181818,54.1578947368421,4.666952745435407,6.712380412407844,11.379333157843254,3.981572846109091,0.6853798993263158,5.666666666666666,1.1785678659215912,0.3917229893221727,0.7656017643802117,0.4129661015413794,0.6908791990985735,0.6649695246367259,0.2962073722186155,,16.0,14.0,1.0,1.0
White Sulphur Springs,White Sulphur Springs city,MT,3080050,"White Sulphur Springs city, MT",4.188855297122862,309.020950049999,2776.4464464464463,147.55855855855856,128.78378378378378,18.774774774774773,1.6278828436324326,2.9667989347466963,4.59468177837913,1.3902839984864863,0.2375988451459459,7.035776942740023,4.188855297122862,1.6987223037642971,2.0007408853138005,1.4283503416070278,0.8145933449246168,0.8939979337590006,0.9445861902932988,,18.67872522308915,19.53593643335099,1.0,1.0
Ennis,Ennis town,MT,3024475,"Ennis town, MT",2.7164520061328874,198.52460719,3156.1031149301825,168.968850698174,146.3576799140709,22.61117078410312,1.8661520797671325,3.28851910566418,5.154671185431312,1.580002811392481,0.2861492683746509,6.860852965174634,2.7164520061328874,1.0355914402353943,2.2272337169444367,1.20318663763799,0.8209118906699204,0.8847128662808044,0.5791902454603868,,18.41283769313529,18.75228009791251,1.0,1.0
Sheridan,Sheridan town,MT,3067600,"Sheridan town, MT",309.880346559656,236.954048543999,1953.5681511470984,102.39001349527666,87.91363022941971,14.476383265856953,1.1322724495492578,4.386502848580388,5.518775298129646,0.949070680839946,0.1832017687093117,8.333266565040077,309.880346559656,80.47854853817752,136.0923112167585,117.37464792836066,0.703953430429055,0.842001013850122,17.77676990591065,,16.0,19.99984977134017,5.999874809450143,1.0
Deer Lodge,Deer Lodge city,MT,3019825,"Deer Lodge city, MT",1718.2750937963765,1356.78832199999,2040.3308295231875,107.18811234487262,91.71750489875896,15.470607446113652,1.1859192615307643,19.02938160075021,20.215300862280973,0.9901353702725018,0.1957838912582625,9.904814014748217,1718.2750937963765,656.6768172473971,930.4218732092578,808.7572094290166,0.6435469522409142,0.6916564195678225,104.29599419945292,,14.29962483975862,14.917156762218784,14.106051243255944,1.0
Hobson,Hobson city,MT,3036700,"Hobson city, MT",0.1633002750224889,84.24026922,2610.861111111112,137.86507936507937,121.36507936507935,16.5,1.519006529288889,2.0731166023728376,3.592123131661727,1.310195452088889,0.2088110771999999,5.499999999999999,0.1633002750224889,0.0519747724073678,0.1305372996765904,0.0735880441015207,0.5423307368185556,0.7859755303048287,0.3533659765720016,,11.0,18.0,1.0,1.0
Westby,Westby town,MT,3078925,"Westby town, MT",0.6434438388464082,82.193832571,4078.60736196319,213.5276073619632,184.8159509202454,28.7116564417178,2.358530913030674,3.968318169873143,6.326849082903818,1.99517867607362,0.3633522369570551,4.66666665012995,0.6434438388464082,0.2312376291699011,0.4536781752606798,0.2789932270150277,0.6120017442155825,0.5675257697248078,0.489554604487592,,13.99999995420602,9.999999946573688,1.0,1.0
Choteau,Choteau city,MT,3014650,"Choteau city, MT",131.0998905607932,717.776358111999,2559.73512252042,133.30746791131855,118.12835472578764,15.17911318553092,1.4673483931019835,4.57808641113537,6.045434804237353,1.2752534249073513,0.1920949681946324,7.9933788128540355,131.0998905607932,33.95373368072172,63.83933945904887,56.38514355475159,0.7081798946864838,0.8438882268622422,10.616023792107685,,16.482255249498674,19.48043912583876,4.998789250893389,1.0
Fairfield,Fairfield town,MT,3025225,"Fairfield town, MT",1.5956612901804506,293.166869639999,1455.832258064516,75.37290322580645,66.03483870967742,9.338064516129032,0.831053645472,4.71802007994207,5.54907372541407,0.7128784145280002,0.118175230944,7.166666666666665,1.5956612901804506,0.5503679195791893,0.7396836658717851,0.6396167714028416,0.7932087297152582,0.8391379200095669,0.4799464954331566,,19.0,20.0,1.0,1.0
Bozeman,Bozeman city,MT,3008950,"Bozeman city, MT",39783.2970301418,17181.6671712259,6707.927635832475,362.4022652714255,296.0652522688633,66.3370130025622,4.035678633201734,5.3947559369274565,9.43043457012919,3.19616935178989,0.8395092814118436,15.54540881095758,39783.2970301418,21777.31379258412,17911.044005516258,16429.608883828067,0.7032136849163411,0.7484614478418458,185.7800667103977,-6606.885691550345,15.543523068618702,17.075040520555326,14.769513027822684,15.55743161046305
