City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['4649600'],['460659778001'],[8.166666666666666],[1561.0000000000014],[23.00000000000002],[534.0000000000005],[534.0000000000005],[0.5853720378625846],[0.49701214750820416],[88.92646175384407],[-99999.0],[10.0],[11.0],[13.0],[1.0]
['4649600'],['460659778002'],[7.166666666666666],[731.9999999999994],[6.999999999999995],[353.9999999999997],[353.9999999999997],[0.5236501981515563],[0.13137744404312737],[114.65207677796917],[-99999.0],[2.0],[9.0],[15.0],[1.0]
['4649600'],['460659778004'],[10.0],[1142.0],[15.0],[548.0],[548.0],[0.7564325226792452],[0.25279810631023725],[174.39917352099087],[-99999.0],[4.0],[18.0],[18.0],[1.0]
['4618460'],['461019597003'],[6.0],[55.03910189177598],[1.2791042134794144],[23.813910798013804],[22.083358038600476],[0.762609749664762],[0.5102130502749624],[3.679567724604253],[-99999.0],[10.0],[18.0],[3.0],[1.0]
['4621540'],['461019597003'],[6.0],[37.061752008627934],[0.8613120767555364],[16.0356042525369],[14.870299678102938],[0.762609749664762],[0.5102130502749624],[3.679567724604253],[-99999.0],[10.0],[18.0],[3.0],[1.0]
['4626180'],['460539711002'],[4.499999999999999],[44.132221746017336],[0.4143870586480501],[23.309272048952817],[20.615756167740493],[0.6453386663633635],[0.2421418397845162],[5.596785166001295],[-99999.0],[4.0],[13.0],[4.0],[1.0]
['4617620'],['460419415001'],[6.666666666666667],[75.25252677317619],[1.1401897995935786],[26.875902418991497],[22.233701092074785],[0.8013897497733765],[0.32320164364012094],[24.46800360816691],[-99999.0],[5.0],[19.0],[7.0],[1.0]
['4620380'],['460539712001'],[5.333333333333333],[1.10472083217106],[0.03764756829549938],[0.6270673094219116],[0.4682416306752736],[0.6525891630372903],[0.6149539793639107],[0.9122696666373061],[-99999.0],[14.0],[14.0],[1.0],[1.0]
['4606220'],['460539712001'],[5.333333333333333],[1.2907832106048776],[0.04398835222508635],[0.7326809917490945],[0.5471051307995114],[0.6525891630372903],[0.6149539793639107],[0.9122696666373061],[-99999.0],[14.0],[14.0],[1.0],[1.0]
['4669300'],['460299543023'],[7.666666666666666],[1433.5271129990892],[32.03074915217189],[703.4677738326053],[636.3845067403208],[0.7226787068554174],[0.3670240116231972],[69.59574808435143],[-99999.0],[6.0],[16.0],[11.0],[1.0]
